Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
180.000;53894;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;Caduceus@126;YXAgent@127;ParsCat@128;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;81562;;180s;No;No;2;0.00000;0.00000;1.14280;1.43014;0.00000;YXAgent@132;YXAgent@133;ParsCat@134;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
166.203;59229;;180s;Yes;No;3;0.66555;0.82791;0.00000;0.37113;2.16736;ParsCat@138;YXAgent@139;ParsCat@140;0.6738927989608232;0.8279134958929436;0.6655548615538309;0.6738927989608232;0.8279134958929436;0.6655548615538309;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
165.919;44930;;180s;Yes;No;3;0.66947;0.85473;0.00000;0.14536;2.36426;Caduceus@144;ParsCat@145;ParsCat@146;0.8547305847391202;0.6694664762345831;0.840060777309536;0.8547305847391202;0.6694664762345831;0.840060777309536;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
165.160;62269;;180s;Yes;No;3;0.69865;0.85568;0.00000;0.28571;2.26935;YXAgent@150;ParsCat@151;ParsCat@152;0.8556804829608448;0.7150176553198933;0.6986527313839865;0.8556804829608448;0.7150176553198933;0.6986527313839865;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
141.621;46370;;180s;Yes;No;3;0.73113;0.76418;0.00000;0.22552;2.24945;ParsCat@156;ParsCat@157;ParsCat@158;0.754142095414166;0.7311298907578463;0.7641780072253322;0.754142095414166;0.7311298907578463;0.7641780072253322;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
149.562;33985;;180s;Yes;No;3;0.72057;0.79739;0.00000;0.22622;2.27329;Caduceus@162;Caduceus@163;Caduceus@164;0.7973871477279642;0.7205741022811142;0.7553331072881683;0.7973871477279642;0.7205741022811142;0.7553331072881683;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;46960;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;YXAgent@168;Caduceus@169;Caduceus@170;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
149.974;37402;;180s;Yes;No;3;0.70558;0.84891;0.00000;0.13251;2.34303;ParsCat@174;Caduceus@175;Caduceus@176;0.7885481576208597;0.7055760777345808;0.8489056772467;0.7885481576208597;0.7055760777345808;0.8489056772467;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;47151;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;Caduceus@180;YXAgent@181;Caduceus@182;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;67015;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;YXAgent@186;YXAgent@187;Caduceus@188;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
168.039;51175;;180s;Yes;No;3;0.63854;0.82391;0.00000;0.26270;2.27036;ParsCat@192;YXAgent@193;Caduceus@194;0.6385368385324051;0.807916129830899;0.8239084414836538;0.6385368385324051;0.807916129830899;0.8239084414836538;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
164.531;39343;;180s;Yes;No;3;0.72057;0.79739;0.00000;0.22622;2.27329;Caduceus@198;ParsCat@199;Caduceus@200;0.7973871477279642;0.7205741022811142;0.7553331072881683;0.7973871477279642;0.7205741022811142;0.7553331072881683;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
165.625;52265;;180s;Yes;No;3;0.68002;0.95058;0.00000;0.02851;2.44209;YXAgent@204;ParsCat@205;Caduceus@206;0.8114855324253221;0.6800222647113152;0.9505788812723412;0.8114855324253221;0.6800222647113152;0.9505788812723412;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
165.516;44641;;180s;Yes;No;3;0.68352;0.98305;0.00000;0.12184;2.36113;ParsCat@210;ParsCat@211;Caduceus@212;0.6835237122911569;0.6945473029365459;0.9830544659957263;0.6835237122911569;0.6945473029365459;0.9830544659957263;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
150.310;44091;;180s;Yes;No;3;0.70558;0.84891;0.00000;0.13251;2.34303;Caduceus@216;Caduceus@217;YXAgent@218;0.7885481576208597;0.7055760777345808;0.8489056772467;0.7885481576208597;0.7055760777345808;0.8489056772467;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;68994;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;YXAgent@222;Caduceus@223;YXAgent@224;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
